,locus_tag,product,5GB1_vial_wLa_TR3,5GB1_vial_woLa_TR2
32,MBURv2_10033,putative membrane protein,0.0,0.0
33,MBURv2_10034,"Haloacid dehalogenase superfamily protein, subfamily IA, variant 3 with third motif having DD or ED",0.0,0.0
34,MBURv2_10035,Mercuric resistance operon regulatory protein,0.0,0.0
35,MBURv2_10036,Mercuric transport protein,0.0,0.0
36,MBURv2_10037,exported protein of unknown function,0.0,0.0
37,MBURv2_10038,conserved protein of unknown function,0.0,0.0
38,MBURv2_10039,protein of unknown function,0.0,0.0
39,MBURv2_10040,UBA/ThiF-type NAD/FAD binding protein,0.0,0.0
40,MBURv2_10041,protein of unknown function,0.0,0.0
41,MBURv2_10042,transposase,0.0,0.0
42,MBURv2_10043,Protein UmuD (modular protein),0.0,0.0
43,MBURv2_10044,Cytosine-specific methyltransferase,0.0,0.0
44,MBURv2_10045,conserved protein of unknown function,0.0,0.0
45,MBURv2_10046,XorII very short patch repair endonuclease,0.0,0.0
46,MBURv2_10047,Integrase family protein (fragment),0.0,0.0
47,MBURv2_10048,Tyrosine recombinase XerC (fragment),0.0,0.0
48,MBURv2_10049,protein of unknown function,0.0,0.0
49,MBURv2_10050,Integrase family protein (fragment),0.0,0.0
50,MBURv2_10051,conserved protein of unknown function,0.0,0.0
51,MBURv2_10052,protein of unknown function,0.0,0.0
52,MBURv2_10053,conserved exported protein of unknown function,0.0,0.0
53,MBURv2_10054,NERD domain protein,0.0,0.0
54,MBURv2_10055,conserved protein of unknown function,0.0,0.0
55,MBURv2_10056,protein of unknown function,0.0,0.0
56,MBURv2_10057,Nuclease,0.0,0.0
57,MBURv2_10058,ParB family protein,0.0,0.0
58,MBURv2_10059,Chromosome partitioning protein ParA,0.0,0.0
59,MBURv2_10060,conserved exported protein of unknown function,0.0,0.0
60,MBURv2_10061,protein of unknown function,0.0,0.0
61,MBURv2_10062,conserved exported protein of unknown function,0.0,0.0
62,MBURv2_10063,protein of unknown function,0.0,0.0
63,MBURv2_10064,TrbN,0.0,0.0
64,MBURv2_10065,TrbL protein of DNA transfer system,0.0,0.0
65,MBURv2_10066,TrbJ protein of DNA transfer system,0.0,0.0
66,MBURv2_10067,Conjugation TrbI-like protein,0.0,0.0
67,MBURv2_10068,TrbH protein of DNA transfer system,0.0,0.0
68,MBURv2_10069,Conjugal transfer protein TrbG,0.0,0.0
69,MBURv2_10070,TrbF protein,0.0,0.0
70,MBURv2_10071,Conjugal transfer protein TrbE,0.0,0.0
71,MBURv2_10072,putative conjugal transfer protein TrbD,0.0,0.0
72,MBURv2_10073,putative conjugal transfer protein TrbC,0.0,0.0
73,MBURv2_10074,putative conjugal transfer protein TrbB,0.0,0.0
74,MBURv2_10075,"putative conjugal transfer protein, transcriptional repressor protein TrbA",0.0,0.0
75,MBURv2_10076,putative plasmid replication initiator protein,0.0,0.0
76,MBURv2_10077,protein of unknown function,0.0,0.0
77,MBURv2_10078,Protein KleE,0.0,0.0
78,MBURv2_10079,putative ParA-like ATPase involved in plasmid partitioning,0.0,0.0
79,MBURv2_10080,Transcriptional repressor protein KorB,0.0,0.0
80,MBURv2_10081,conserved protein of unknown function,0.0,0.0
81,MBURv2_10082,conserved protein of unknown function,0.0,0.0
82,MBURv2_10083,conserved protein of unknown function,0.0,0.0
83,MBURv2_10084,protein of unknown function,0.0,0.0
84,MBURv2_10085,protein of unknown function,0.0,0.0
85,MBURv2_10086,Initiator RepB protein,0.0,0.0
86,MBURv2_10087,conserved protein of unknown function,0.0,0.0
87,MBURv2_20001,3-deoxy-D-manno-octulosonic acid transferase,39.0,36.0
88,MBURv2_20002,conserved protein of unknown function,423.0,307.0
89,MBURv2_20003,conserved protein of unknown function,154.0,202.0
90,MBURv2_20004,putative oxidoreductase with FAD/NAD(P)-binding domain,109.0,118.0
91,MBURv2_20005,conserved membrane protein of unknown function,62.0,78.0
92,MBURv2_20006,Alpha/beta hydrolase domain-containing protein 11,57.0,75.0
93,MBURv2_20007,conserved exported protein of unknown function,288.0,309.0
94,MBURv2_20008,Protein hfq,2123.0,1914.0
95,MBURv2_20009,putative GTPase,245.0,232.0
96,MBURv2_20010,modulator for HflB protease specific for phage lambda cII repressor,498.0,484.0
97,MBURv2_20011,modulator for HflB protease specific for phage lambda cII repressor,823.0,803.0
98,MBURv2_20012,ATP phosphoribosyltransferase,112.0,132.0
99,MBURv2_20013,adenylosuccinate synthetase,172.0,157.0
100,MBURv2_20014,Multidrug resistance protein A,22.0,16.0
101,MBURv2_20015,"RND efflux system, outer membrane lipoprotein, NodT family",7.0,8.0
102,MBURv2_20016,"Drug resistance transporter, EmrB/QacA subfamily",3.0,3.0
103,MBURv2_20017,conserved protein of unknown function,22.0,3.0
104,MBURv2_20018,Anaerobic nitric oxide reductase transcription regulator NorR,21.0,33.0
105,MBURv2_20019,protein of unknown function,48.0,56.0
106,MBURv2_20020,exported protein of unknown function,59.0,84.0
107,MBURv2_20021,Tetratricopeptide domain protein,41.0,36.0
108,MBURv2_20022,Trigger factor,117.0,142.0
109,MBURv2_20023,proteolytic subunit of ClpA-ClpP and ClpX-ClpP ATP-dependent serine proteases,351.0,389.0
110,MBURv2_20024,ATPase and specificity subunit of ClpX-ClpP ATP-dependent serine protease,650.0,583.0
111,MBURv2_20025,DNA-binding ATP-dependent protease La,305.0,278.0
112,MBURv2_20026,"HU, DNA-binding transcriptional regulator, beta subunit",3062.0,2626.0
113,MBURv2_20027,protein of unknown function,102.0,139.0
114,MBURv2_20028,protein of unknown function,94.0,118.0
115,MBURv2_20029,PpiC-type peptidyl-prolyl cis-trans isomerase,135.0,115.0
116,MBURv2_20030,"enoyl-[acyl-carrier-protein] reductase, NADH-dependent",782.0,673.0
117,MBURv2_20031,Extracellular solute-binding protein family 5,57.0,59.0
118,MBURv2_20032,Binding-protein-dependent transport systems inner membrane component,78.0,83.0
119,MBURv2_20033,Binding-protein-dependent transport systems inner membrane component,83.0,85.0
120,MBURv2_20034,"putative oligopeptide transport protein (ABC superfamily, atp_bind)",72.0,75.0
121,MBURv2_20035,Lytic transglycosylase catalytic,215.0,203.0
122,MBURv2_20036,Methyltransferase type 11,138.0,119.0
123,MBURv2_20037,"fragment of bifunctional protein [Includes: ribonuclease HI; DNA polymerase III ,epsilon subunit, 3-5 exonucleolytic proofreadin",,
124,MBURv2_20038,putative GGDEF/EAL-domain containing protein,83.0,87.0
125,MBURv2_20039,Carboxylesterase 2,92.0,80.0
126,MBURv2_20040,"fragment of bifunctional protein [Includes: ribonuclease HI; DNA polymerase III ,epsilon subunit, 3-5 exonucleolytic proofreadin",,
127,MBURv2_20041,ATP-dependent RNA helicase,84.0,78.0
128,MBURv2_20042,transposase (fragment),26.0,34.0
129,MBURv2_20043,protein of unknown function,50.0,66.0
130,MBURv2_20044,conserved protein of unknown function,170.0,139.0
131,MBURv2_20045,conserved protein of unknown function,172.0,141.0
132,MBURv2_20046,conserved membrane protein of unknown function,191.0,184.0
133,MBURv2_20047,"Peptidase S1 and S6, chymotrypsin/Hap",70.0,71.0
134,MBURv2_20048,Undecaprenyl-phosphate galactosephosphotransferase,104.0,96.0
135,MBURv2_20049,UDP-galactose-4-epimerase,144.0,183.0
136,MBURv2_20050,adenosine 5'-phosphosulfate kinase,81.0,58.0
137,MBURv2_20051,Acetyltransferase,104.0,108.0
138,MBURv2_20052,mannose-1-phosphate guanyltransferase,162.0,165.0
139,MBURv2_20053,UTP-glucose-1-phosphate uridylyltransferase,253.0,255.0
140,MBURv2_20054,conserved protein of unknown function,0.0,0.0
141,MBURv2_20055,conserved protein of unknown function,290.0,305.0
142,MBURv2_20056,protein of unknown function,12.0,15.0
143,MBURv2_20057,Response regulator receiver,283.0,281.0
144,MBURv2_20058,protein of unknown function,200.0,200.0
145,MBURv2_20059,Response regulator receiver protein,89.0,72.0
146,MBURv2_20060,conserved exported protein of unknown function,3.0,8.0
147,MBURv2_20061,"putative branched-chain amino acid transport protein (ABC superfamily, peri_bind)",15.0,11.0
148,MBURv2_20062,protein of unknown function,0.0,4.0
149,MBURv2_20063,"putative ureashort-chain amide or branched-chain amino acid uptake ABC transporter permease protein, possibly fusion",12.0,7.0
150,MBURv2_20064,"putative branched-chain amino acid permease protein (ABC superfamily, membrane)",21.0,11.0
151,MBURv2_20065,"putative branched-chain amino acid transport protein (ABC superfamily, atp_bind)",52.0,30.0
152,MBURv2_20066,"putative branched-chain amino acid transport protein (ABC superfamily, ATP_bind)",23.0,24.0
153,MBURv2_20067,HupE/UreJ protein,32.0,47.0
154,MBURv2_20068,Urease accessory protein UreD,48.0,30.0
155,MBURv2_20069,urease gamma subunit,48.0,41.0
156,MBURv2_20070,urease beta subunit,21.0,18.0
157,MBURv2_20071,urease alpha subunit,95.0,74.0
158,MBURv2_20072,urease accessory protein,31.0,29.0
159,MBURv2_20073,Urease accessory protein UreF,53.0,30.0
160,MBURv2_20074,urease accessory protein,71.0,58.0
161,MBURv2_20075,adenylosuccinate lyase,35.0,49.0
162,MBURv2_20076,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase,36.0,22.0
163,MBURv2_20077,putative Nudix hydrolase,69.0,73.0
164,MBURv2_20078,regulatory protein for ClpA substrate specificity,510.0,680.0
165,MBURv2_20079,"ATPase and specificity subunit of ClpA-ClpP ATP-dependent serine protease, chaperone activity",591.0,626.0
166,MBURv2_20080,translation initiation factor IF-1,565.0,471.0
167,MBURv2_20081,conserved protein of unknown function,54.0,35.0
168,MBURv2_20082,conserved exported protein of unknown function,97.0,91.0
169,MBURv2_20083,conserved exported protein of unknown function,20.0,38.0
170,MBURv2_20084,conserved protein of unknown function,25.0,31.0
171,MBURv2_20085,conserved protein of unknown function,38.0,34.0
172,MBURv2_20086,conserved protein of unknown function,63.0,40.0
173,MBURv2_20087,conserved protein of unknown function,33.0,33.0
174,MBURv2_20088,putative Transport-associated protein,61.0,39.0
175,MBURv2_20089,Diguanylate cyclase (Modular protein),12.0,8.0
176,MBURv2_20090,PRC-barrel domain protein,20.0,25.0
177,MBURv2_20091,protein of unknown function,3.0,4.0
178,MBURv2_20092,putative phosphoketolase 1,23.0,17.0
179,MBURv2_20093,conserved protein of unknown function,15.0,15.0
180,MBURv2_20094,Transport-associated protein,14.0,16.0
181,MBURv2_20095,conserved protein of unknown function,5.0,0.0
182,MBURv2_20096,conserved protein of unknown function,34.0,14.0
183,MBURv2_20097,conserved protein of unknown function,20.0,6.0
184,MBURv2_20098,conserved protein of unknown function,95.0,40.0
185,MBURv2_20099,hydroperoxidase HPII(III) (catalase),29.0,17.0
186,MBURv2_20100,exported protein of unknown function,28.0,29.0
187,MBURv2_20101,GGDEF family protein,63.0,83.0
188,MBURv2_20102,YeeE/YedE family protein,48.0,33.0
189,MBURv2_20103,conserved membrane protein of unknown function,92.0,58.0
190,MBURv2_20104,conserved protein of unknown function,362.0,388.0
191,MBURv2_20105,conserved membrane protein of unknown function,50.0,70.0
192,MBURv2_20106,conserved protein of unknown function,74.0,38.0
193,MBURv2_20107,conserved protein of unknown function,33.0,28.0
194,MBURv2_20108,protein of unknown function,13.0,4.0
195,MBURv2_20109,conserved membrane protein of unknown function,13.0,6.0
196,MBURv2_20110,protein of unknown function,5.0,22.0
197,MBURv2_20111,putative ribonuclease BN,11.0,10.0
198,MBURv2_20112,conserved membrane protein of unknown function,16.0,14.0
199,MBURv2_20113,conserved exported protein of unknown function,19.0,32.0
200,MBURv2_20114,conserved protein of unknown function,38.0,11.0
201,MBURv2_20115,conserved protein of unknown function,122.0,135.0
202,MBURv2_20116,conserved protein of unknown function,85.0,58.0
203,MBURv2_20117,Transport-associated protein,52.0,44.0
204,MBURv2_20118,conserved membrane protein of unknown function,1.0,4.0
205,MBURv2_20119,protein of unknown function,5.0,3.0
206,MBURv2_20120,protein of unknown function,64.0,17.0
207,MBURv2_20121,conserved protein of unknown function,17.0,10.0
208,MBURv2_20122,OmpA/MotB domain protein,21.0,21.0
209,MBURv2_20123,Transport-associated protein (Modular protein) (fragment),43.0,57.0
210,MBURv2_20124,conserved exported protein of unknown function,25.0,28.0
211,MBURv2_20125,protein of unknown function,10.0,3.0
212,MBURv2_20126,"MCP methyltransferase/methylesterase, CheR/CheB",26.0,25.0
213,MBURv2_20127,Diguanylate cyclase/phosphodiesterase with PAS/PAC sensor(S),20.0,27.0
214,MBURv2_20128,Phosphorylase,49.0,47.0
215,MBURv2_20129,protein of unknown function,94.0,62.0
216,MBURv2_20130,protein of unknown function,36.0,59.0
217,MBURv2_20131,Fatty acid hydroxylase,123.0,98.0
218,MBURv2_20132,transposase,45.0,54.0
219,MBURv2_20133,protein of unknown function,37.0,13.0
220,MBURv2_20134,conserved protein of unknown function,101.0,63.0
221,MBURv2_20135,conserved exported protein of unknown function,52.0,69.0
222,MBURv2_20136,putative OmpA/MotB domain protein,64.0,78.0
223,MBURv2_20137,conserved membrane protein of unknown function,13.0,23.0
224,MBURv2_20138,conserved protein of unknown function,25.0,7.0
225,MBURv2_20139,conserved exported protein of unknown function,8.0,23.0
226,MBURv2_20140,L-sorbosone dehydrogenase,2.0,9.0
227,MBURv2_20141,Non-heme chloroperoxidase,16.0,18.0
228,MBURv2_20142,Signal transduction histidine kinase,256.0,273.0
229,MBURv2_20143,Cyclic nucleotide-binding domain (CNMP-BD) protein,16.0,29.0
230,MBURv2_20144,"putative Bacterial regulatory protein, Crp",77.0,168.0
231,MBURv2_20145,putative squalene--hopene cyclase,10.0,6.0
232,MBURv2_20146,Glycosyl transferase family 2,31.0,30.0
233,MBURv2_20147,Lipid A biosynthesis acyltransferase,13.0,9.0
234,MBURv2_20148,protein of unknown function,32.0,9.0
235,MBURv2_20149,conserved protein of unknown function,37.0,18.0
236,MBURv2_20150,conserved protein of unknown function,11.0,32.0
237,MBURv2_20151,conserved protein of unknown function,29.0,56.0
238,MBURv2_20152,putative glycoside hydrolase/deacetylase,26.0,24.0
239,MBURv2_20153,conserved exported protein of unknown function,8.0,15.0
240,MBURv2_20154,conserved protein of unknown function,31.0,45.0
241,MBURv2_20155,"putative phosphorylase, carbohydrate binding",10.0,7.0
242,MBURv2_20156,conserved membrane protein of unknown function,47.0,38.0
243,MBURv2_20157,Cytochrome c biogenesis ATP-binding export protein CcmA,122.0,140.0
244,MBURv2_20158,heme exporter subunit ; membrane component of ABC superfamily,63.0,48.0
245,MBURv2_20159,heme exporter subunit ; membrane component of ABC superfamily,58.0,54.0
246,MBURv2_20160,Heme exporter protein CcmD,100.0,86.0
247,MBURv2_20161,periplasmic heme chaperone,165.0,134.0
248,MBURv2_20162,"heme lyase, CcmF subunit",88.0,89.0
249,MBURv2_20163,periplasmic thioredoxin of cytochrome c-type biogenesis,305.0,333.0
250,MBURv2_20164,conserved exported protein of unknown function,435.0,397.0
251,MBURv2_20165,Cytochrome C biogenesis protein,292.0,300.0
252,MBURv2_20166,Cytochrome c-type biogenesis protein CcmI,293.0,258.0
253,MBURv2_20167,"coproporphyrinogen III oxidase, SAM and NAD(P)H dependent, oxygen-independent",237.0,245.0
254,MBURv2_20168,conserved protein of unknown function,277.0,309.0
255,MBURv2_20169,protein of unknown function,61.0,68.0
256,MBURv2_20170,"DNA gyrase (type II topoisomerase), subunit A",197.0,191.0
257,MBURv2_20171,3-phosphoserine/phosphohydroxythreonine aminotransferase,204.0,235.0
258,MBURv2_20172,bifuctional protein [Includes: chorismate mutase P; prephenate dehydratase ],242.0,267.0
259,MBURv2_20173,Histidinol-phosphate aminotransferase 2,88.0,110.0
260,MBURv2_20174,fragment of bifunctional protein [Includes: putative prephenate or cyclohexadienyl dehydrogenase; 3-phosphoshikimate 1-carboxyvi,,
261,MBURv2_20175,fragment of bifunctional protein [Includes: putative prephenate or cyclohexadienyl dehydrogenase; 3-phosphoshikimate 1-carboxyvi,,
262,MBURv2_20176,cytidylate kinase,260.0,189.0
263,MBURv2_20177,30S ribosomal subunit protein S1,455.0,458.0
264,MBURv2_20178,"integration host factor (IHF), DNA-binding protein, beta subunit",265.0,288.0
265,MBURv2_20179,conserved protein of unknown function,78.0,48.0
266,MBURv2_20180,"ferrous iron transporter, protein A",101.0,56.0
267,MBURv2_20181,"fused ferrous iron transporter, protein B: GTP-binding protein ; membrane protein",41.0,37.0
268,MBURv2_20182,conserved protein of unknown function,56.0,26.0
269,MBURv2_20183,conserved protein of unknown function,76.0,105.0
270,MBURv2_20184,conserved protein of unknown function,96.0,95.0
271,MBURv2_20185,Formaldehyde-activating enzyme,690.0,702.0
272,MBURv2_20186,conserved protein of unknown function,98.0,69.0
273,MBURv2_20187,conserved protein of unknown function,58.0,80.0
274,MBURv2_20188,Ankyrin,105.0,102.0
275,MBURv2_20189,protein of unknown function,122.0,109.0
276,MBURv2_20190,conserved protein of unknown function,45.0,54.0
277,MBURv2_20191,MotA/TolQ/ExbB proton channel,52.0,85.0
278,MBURv2_20192,protein of unknown function,81.0,92.0
279,MBURv2_20193,conserved protein of unknown function,379.0,328.0
280,MBURv2_20194,Nodulation efficiency protein D,228.0,170.0
281,MBURv2_20195,protein of unknown function,7.0,47.0
282,MBURv2_20196,inositol monophosphatase,157.0,144.0
283,MBURv2_20197,putative methyltransferase,91.0,83.0
284,MBURv2_20198,serine acetyltransferase,88.0,61.0
285,MBURv2_20199,DNA-binding transcriptional repressor,103.0,112.0
286,MBURv2_20200,Cysteine desulfurase,98.0,90.0
287,MBURv2_20201,FeS cluster assembly protein,146.0,133.0
288,MBURv2_20202,putative flavoprotein oxidoreductase,41.0,34.0
289,MBURv2_20203,putative Mg transporter (MgtE),122.0,132.0
290,MBURv2_20204,conserved exported protein of unknown function,12.0,20.0
291,MBURv2_20205,conserved protein of unknown function,2594.0,2062.0
292,MBURv2_20206,putative Beta-lactamase,88.0,87.0
293,MBURv2_20207,Heat shock protein DnaJ domain protein,85.0,93.0
294,MBURv2_20208,Predicted ATPase (AAA+ superfamily),88.0,82.0
295,MBURv2_20209,protein of unknown function,58.0,119.0
296,MBURv2_20210,membrane protein of unknown function,74.0,52.0
297,MBURv2_20211,protein of unknown function,79.0,84.0
298,MBURv2_20212,conserved protein of unknown function,88.0,113.0
299,MBURv2_20213,Bacteriophage protein gp37,158.0,163.0
300,MBURv2_20214,protein of unknown function,21.0,6.0
301,MBURv2_20215,conserved protein of unknown function,153.0,126.0
302,MBURv2_20216,Growth inhibitor,179.0,156.0
303,MBURv2_20217,Phosphoribosyltransferase,59.0,35.0
304,MBURv2_20218,biotin synthase,29.0,25.0
305,MBURv2_20219,8-amino-7-oxononanoate synthase,30.0,20.0
306,MBURv2_20220,Pimelyl-[acyl-carrier protein] methyl ester esterase,15.0,8.0
307,MBURv2_20221,Malonyl-CoA O-methyltransferase BioC,22.0,34.0
308,MBURv2_20222,dethiobiotin synthetase,25.0,29.0
309,MBURv2_20223,Bacteriohemerythrin,7520.0,7384.0
310,MBURv2_20224,Cytochrome c oxidase subunit 2,799.0,886.0
311,MBURv2_20225,putative cytochrome c oxidase subunit 1,616.0,560.0
312,MBURv2_20226,conserved protein of unknown function,343.0,371.0
313,MBURv2_20227,Cytochrome c oxidase assembly protein CtaG,485.0,491.0
314,MBURv2_20228,Cytochrome c oxidase polypeptide III,858.0,907.0
315,MBURv2_20229,conserved exported protein of unknown function,109.0,51.0
316,MBURv2_20230,conserved protein of unknown function,35.0,47.0
317,MBURv2_20231,conserved exported protein of unknown function,36.0,33.0
318,MBURv2_20232,Signal recognition particle receptor FtsY,43.0,55.0
319,MBURv2_20233,transporter subunit: ATP-binding component of ABC superfamily,49.0,46.0
320,MBURv2_20234,conserved membrane protein of unknown function,50.0,76.0
321,MBURv2_20235,"RNA polymerase, sigma 32 (sigma H) factor",337.0,258.0
322,MBURv2_20236,protein of unknown function,65.0,113.0
323,MBURv2_20237,"3-methyl-adenine DNA glycosylase I, constitutive",43.0,22.0
324,MBURv2_20238,Transcriptional regulator,18.0,39.0
325,MBURv2_20239,conserved protein of unknown function,18.0,32.0
326,MBURv2_20240,CRISPR-associated endonuclease Cas1,76.0,63.0
327,MBURv2_20241,Ribonuclease VapC1,90.0,43.0
328,MBURv2_20242,Antitoxin VapB1,68.0,76.0
329,MBURv2_20243,conserved protein of unknown function,48.0,55.0
330,MBURv2_20244,conserved protein of unknown function,245.0,276.0
331,MBURv2_20245,conserved protein of unknown function,142.0,179.0
332,MBURv2_20246,"CRISPR-associated protein Cas6/Csy4, subtype I-F/YPEST",137.0,169.0
333,MBURv2_20247,protein of unknown function,75.0,71.0
334,MBURv2_20248,conserved protein of unknown function,132.0,166.0
335,MBURv2_20249,protein of unknown function,46.0,37.0
336,MBURv2_20250,protein of unknown function,36.0,54.0
337,MBURv2_20251,conserved protein of unknown function,9.0,22.0
338,MBURv2_20252,conserved protein of unknown function,20.0,15.0
339,MBURv2_20253,conserved protein of unknown function,0.0,0.0
340,MBURv2_20254,conserved protein of unknown function,0.0,12.0
341,MBURv2_20255,protein of unknown function,31.0,18.0
342,MBURv2_20256,ErfK/YbiS/YcfS/YnhG family protein,55.0,35.0
343,MBURv2_20257,transposase (fragment),33.0,34.0
344,MBURv2_20258,transposase (fragment),13.0,31.0
345,MBURv2_20259,conserved protein of unknown function,226.0,176.0
346,MBURv2_20260,protein of unknown function,230.0,98.0
347,MBURv2_20261,"Transcriptional regulator, MarR family",88.0,83.0
348,MBURv2_20262,conserved protein of unknown function,265.0,270.0
349,MBURv2_20263,conserved exported protein of unknown function,263.0,202.0
350,MBURv2_20264,"TrkA-C, di-and tricarboxylate transporters",76.0,62.0
351,MBURv2_20265,2 polyprenyl 3 methyl 5 hydroxy 6 metoxy 1 4 benzoquinol methylase,69.0,60.0
352,MBURv2_20266,conserved protein of unknown function,40.0,50.0
353,MBURv2_20267,NUDIX hydrolase,40.0,28.0
354,MBURv2_20268,protein of unknown function,55.0,13.0
355,MBURv2_20269,protein of unknown function,47.0,74.0
356,MBURv2_20270,"Transcriptional regulator, LysR family",76.0,86.0
357,MBURv2_20271,"Transcriptional regulator, TetR family",150.0,132.0
358,MBURv2_20272,Bifunctional protein aas [Includes: 2-acylglycerophosphoethanolamine acyltransferase ; Acyl-[acyl-carrier-protein] synthetase],100.0,87.0
359,MBURv2_20273,protein of unknown function,13.0,19.0
360,MBURv2_20274,SMC domain protein,89.0,71.0
361,MBURv2_20275,UDP-N-acetyl glucosamine-2-epimerase,81.0,108.0
362,MBURv2_20276,conserved protein of unknown function,15.0,26.0
363,MBURv2_20277,putative Flagellar hook-length control protein,45.0,40.0
364,MBURv2_20278,Lysophospholipase-like protein,60.0,51.0
365,MBURv2_20279,Protein-L-isoaspartate O-methyltransferase 2,180.0,150.0
366,MBURv2_20280,conserved membrane protein of unknown function,40.0,54.0
367,MBURv2_20281,conserved protein of unknown function,58.0,56.0
368,MBURv2_20282,conserved exported protein of unknown function,1722.0,1447.0
369,MBURv2_20283,conserved membrane protein of unknown function,50.0,45.0
370,MBURv2_20284,glutaredoxin,201.0,134.0
371,MBURv2_20285,Ribulose-5-phosphate 4-epimerase,38.0,50.0
372,MBURv2_20286,"bacterioferritin, iron storage and detoxification protein",332.0,228.0
373,MBURv2_20287,Bacterioferritin-associated ferredoxin,358.0,277.0
374,MBURv2_20288,Delta-1-pyrroline-5-carboxylate dehydrogenase,87.0,94.0
375,MBURv2_20289,Alpha/beta hydrolase fold protein,137.0,97.0
376,MBURv2_20290,protein of unknown function,76.0,42.0
377,MBURv2_20291,conserved exported protein of unknown function,174.0,207.0
378,MBURv2_20292,conserved membrane protein of unknown function,74.0,87.0
379,MBURv2_20293,conserved protein of unknown function,58.0,75.0
380,MBURv2_20294,MiaB-like tRNA modifying enzyme,35.0,37.0
381,MBURv2_20295,Nucleoside recognition domain protein,11.0,14.0
382,MBURv2_20296,Acid tolerance regulatory protein ActR,111.0,98.0
383,MBURv2_20297,Integral membrane sensor signal transduction histidine kinase,48.0,52.0
384,MBURv2_20298,conserved protein of unknown function,46.0,38.0
385,MBURv2_20299,Transcriptional regulatory protein PmrA,82.0,67.0
386,MBURv2_20300,putative transcriptional coactivator/pterin dehydratase,1064.0,871.0
387,MBURv2_20301,conserved membrane protein of unknown function,111.0,98.0
388,MBURv2_20302,phosphoenolpyruvate synthase,165.0,187.0
389,MBURv2_20303,conserved hypothetical protein,73.0,83.0
390,MBURv2_20304,PpiC-type peptidyl-prolyl cis-trans isomerase,211.0,316.0
391,MBURv2_20305,putative stress-induced morphogen BolA protein,82.0,165.0
392,MBURv2_20306,putative enzyme,156.0,179.0
393,MBURv2_20307,putative intracellular septation protein involved in cell division,92.0,150.0
394,MBURv2_20308,conserved protein of unknown function,66.0,98.0
395,MBURv2_20309,conserved protein of unknown function,173.0,228.0
396,MBURv2_20310,Methyltransferase type 11,250.0,213.0
397,MBURv2_20311,gamma-glutamyl phosphate reductase (GPR) (Glutamate-5- semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) (,143.0,126.0
398,MBURv2_20312,putative nicotinate-nucleotide adenylyltransferase,70.0,67.0
399,MBURv2_20313,hypothetical protein,164.0,185.0
400,MBURv2_20314,conserved protein of unknown function,154.0,167.0
401,MBURv2_20315,conserved protein of unknown function,115.0,133.0
402,MBURv2_20316,conserved protein of unknown function,77.0,95.0
403,MBURv2_20317,conserved protein of unknown function,58.0,50.0
404,MBURv2_20318,"HTH transcriptional regulator, ArsR",48.0,37.0
405,MBURv2_20319,Arsenate reductase / phosphotyrosine protein phosphatase,9.0,16.0
406,MBURv2_20320,conserved membrane protein of unknown function,12.0,12.0
407,MBURv2_20321,conserved protein of unknown function,17.0,19.0
408,MBURv2_20322,Arsenical resistance operon trans-acting repressor ArsD,22.0,25.0
409,MBURv2_20323,Arsenical pump-driving ATPase,29.0,26.0
