locus_tag,product,5GB1_vial_wLa_TR3,5GB1_vial_woLa_TR2
MBURv2_10056,protein of unknown function,0,0
MBURv2_10057,Nuclease,0,0
MBURv2_10058,ParB family protein,0,0
MBURv2_10059,Chromosome partitioning protein ParA,0,0
MBURv2_10060,conserved exported protein of unknown function,0,0
MBURv2_10061,protein of unknown function,0,0
MBURv2_10062,conserved exported protein of unknown function,0,0
MBURv2_10063,protein of unknown function,0,0
MBURv2_10064,TrbN,0,0
MBURv2_10065,TrbL protein of DNA transfer system,0,0
MBURv2_10066,TrbJ protein of DNA transfer system,0,0
MBURv2_10067,Conjugation TrbI-like protein,0,0
MBURv2_10068,TrbH protein of DNA transfer system,0,0
MBURv2_10069,Conjugal transfer protein TrbG,0,0
MBURv2_10070,TrbF protein,0,0
MBURv2_10071,Conjugal transfer protein TrbE,0,0
MBURv2_10072,putative conjugal transfer protein TrbD,0,0
MBURv2_10073,putative conjugal transfer protein TrbC,0,0
MBURv2_10074,putative conjugal transfer protein TrbB,0,0
MBURv2_10075,"putative conjugal transfer protein, transcriptional repressor protein TrbA",0,0
MBURv2_10076,putative plasmid replication initiator protein,0,0
MBURv2_10077,protein of unknown function,0,0
MBURv2_10078,Protein KleE,0,0
MBURv2_10079,putative ParA-like ATPase involved in plasmid partitioning,0,0
MBURv2_10080,Transcriptional repressor protein KorB,0,0
MBURv2_10081,conserved protein of unknown function,0,0
MBURv2_10082,conserved protein of unknown function,0,0
MBURv2_10083,conserved protein of unknown function,0,0
MBURv2_10084,protein of unknown function,0,0
MBURv2_10085,protein of unknown function,0,0
MBURv2_10086,Initiator RepB protein,0,0
MBURv2_10087,conserved protein of unknown function,0,0
MBURv2_20001,3-deoxy-D-manno-octulosonic acid transferase,39,36
MBURv2_20002,conserved protein of unknown function,423,307
MBURv2_20003,conserved protein of unknown function,154,202
MBURv2_20004,putative oxidoreductase with FAD/NAD(P)-binding domain,109,118
MBURv2_20005,conserved membrane protein of unknown function,62,78
MBURv2_20006,Alpha/beta hydrolase domain-containing protein 11,57,75
MBURv2_20007,conserved exported protein of unknown function,288,309
MBURv2_20008,Protein hfq,2123,1914
MBURv2_20009,putative GTPase,245,232
MBURv2_20010,modulator for HflB protease specific for phage lambda cII repressor,498,484
MBURv2_20011,modulator for HflB protease specific for phage lambda cII repressor,823,803
MBURv2_20012,ATP phosphoribosyltransferase,112,132
MBURv2_20013,adenylosuccinate synthetase,172,157
MBURv2_20014,Multidrug resistance protein A,22,16
MBURv2_20015,"RND efflux system, outer membrane lipoprotein, NodT family",7,8
MBURv2_20016,"Drug resistance transporter, EmrB/QacA subfamily",3,3
MBURv2_20017,conserved protein of unknown function,22,3
MBURv2_20018,Anaerobic nitric oxide reductase transcription regulator NorR,21,33
MBURv2_20019,protein of unknown function,48,56
MBURv2_20020,exported protein of unknown function,59,84
MBURv2_20021,Tetratricopeptide domain protein,41,36
MBURv2_20022,Trigger factor,117,142
MBURv2_20023,proteolytic subunit of ClpA-ClpP and ClpX-ClpP ATP-dependent serine proteases,351,389
MBURv2_20024,ATPase and specificity subunit of ClpX-ClpP ATP-dependent serine protease,650,583
MBURv2_20025,DNA-binding ATP-dependent protease La,305,278
MBURv2_20026,"HU, DNA-binding transcriptional regulator, beta subunit",3062,2626
MBURv2_20027,protein of unknown function,102,139
MBURv2_20028,protein of unknown function,94,118
MBURv2_20029,PpiC-type peptidyl-prolyl cis-trans isomerase,135,115
MBURv2_20030,"enoyl-[acyl-carrier-protein] reductase, NADH-dependent",782,673
MBURv2_20031,Extracellular solute-binding protein family 5,57,59
MBURv2_20032,Binding-protein-dependent transport systems inner membrane component,78,83
MBURv2_20033,Binding-protein-dependent transport systems inner membrane component,83,85
MBURv2_20034,"putative oligopeptide transport protein (ABC superfamily, atp_bind)",72,75
MBURv2_20035,Lytic transglycosylase catalytic,215,203
MBURv2_20036,Methyltransferase type 11,138,119
MBURv2_20037,"fragment of bifunctional protein [Includes: ribonuclease HI; DNA polymerase III ,epsilon subunit, 3-5 exonucleolytic proofreadin",NULL,NULL
MBURv2_20038,putative GGDEF/EAL-domain containing protein,83,87
MBURv2_20039,Carboxylesterase 2,92,80
MBURv2_20040,"fragment of bifunctional protein [Includes: ribonuclease HI; DNA polymerase III ,epsilon subunit, 3-5 exonucleolytic proofreadin",NULL,NULL
MBURv2_20041,ATP-dependent RNA helicase,84,78
MBURv2_20042,transposase (fragment),26,34
MBURv2_20043,protein of unknown function,50,66
MBURv2_20044,conserved protein of unknown function,170,139
MBURv2_20045,conserved protein of unknown function,172,141
MBURv2_20046,conserved membrane protein of unknown function,191,184
MBURv2_20047,"Peptidase S1 and S6, chymotrypsin/Hap",70,71
MBURv2_20048,Undecaprenyl-phosphate galactosephosphotransferase,104,96
MBURv2_20049,UDP-galactose-4-epimerase,144,183
MBURv2_20050,adenosine 5'-phosphosulfate kinase,81,58
MBURv2_20051,Acetyltransferase,104,108
MBURv2_20052,mannose-1-phosphate guanyltransferase,162,165
MBURv2_20053,UTP-glucose-1-phosphate uridylyltransferase,253,255
MBURv2_20054,conserved protein of unknown function,0,0
MBURv2_20055,conserved protein of unknown function,290,305
MBURv2_20056,protein of unknown function,12,15
MBURv2_20057,Response regulator receiver,283,281
MBURv2_20058,protein of unknown function,200,200
MBURv2_20059,Response regulator receiver protein,89,72
MBURv2_20060,conserved exported protein of unknown function,3,8
MBURv2_20061,"putative branched-chain amino acid transport protein (ABC superfamily, peri_bind)",15,11
MBURv2_20062,protein of unknown function,0,4
MBURv2_20063,"putative ureashort-chain amide or branched-chain amino acid uptake ABC transporter permease protein, possibly fusion",12,7
MBURv2_20064,"putative branched-chain amino acid permease protein (ABC superfamily, membrane)",21,11
MBURv2_20065,"putative branched-chain amino acid transport protein (ABC superfamily, atp_bind)",52,30
MBURv2_20066,"putative branched-chain amino acid transport protein (ABC superfamily, ATP_bind)",23,24
MBURv2_20067,HupE/UreJ protein,32,47
MBURv2_20068,Urease accessory protein UreD,48,30
MBURv2_20069,urease gamma subunit,48,41
MBURv2_20070,urease beta subunit,21,18
MBURv2_20071,urease alpha subunit,95,74
MBURv2_20072,urease accessory protein,31,29
MBURv2_20073,Urease accessory protein UreF,53,30
MBURv2_20074,urease accessory protein,71,58
MBURv2_20075,adenylosuccinate lyase,35,49
MBURv2_20076,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase,36,22
MBURv2_20077,putative Nudix hydrolase,69,73
MBURv2_20078,regulatory protein for ClpA substrate specificity,510,680
MBURv2_20079,"ATPase and specificity subunit of ClpA-ClpP ATP-dependent serine protease, chaperone activity",591,626
MBURv2_20080,translation initiation factor IF-1,565,471
MBURv2_20081,conserved protein of unknown function,54,35
MBURv2_20082,conserved exported protein of unknown function,97,91
MBURv2_20083,conserved exported protein of unknown function,20,38
MBURv2_20084,conserved protein of unknown function,25,31
MBURv2_20085,conserved protein of unknown function,38,34
MBURv2_20086,conserved protein of unknown function,63,40
MBURv2_20087,conserved protein of unknown function,33,33
MBURv2_20088,putative Transport-associated protein,61,39
MBURv2_20089,Diguanylate cyclase (Modular protein),12,8
MBURv2_20090,PRC-barrel domain protein,20,25
MBURv2_20091,protein of unknown function,3,4
MBURv2_20092,putative phosphoketolase 1,23,17
MBURv2_20093,conserved protein of unknown function,15,15
MBURv2_20094,Transport-associated protein,14,16
MBURv2_20095,conserved protein of unknown function,5,0
MBURv2_20096,conserved protein of unknown function,34,14
MBURv2_20097,conserved protein of unknown function,20,6
MBURv2_20098,conserved protein of unknown function,95,40
MBURv2_20099,hydroperoxidase HPII(III) (catalase),29,17
MBURv2_20100,exported protein of unknown function,28,29
MBURv2_20101,GGDEF family protein,63,83
MBURv2_20102,YeeE/YedE family protein,48,33
MBURv2_20103,conserved membrane protein of unknown function,92,58
MBURv2_20104,conserved protein of unknown function,362,388
MBURv2_20105,conserved membrane protein of unknown function,50,70
MBURv2_20106,conserved protein of unknown function,74,38
MBURv2_20107,conserved protein of unknown function,33,28
MBURv2_20108,protein of unknown function,13,4
MBURv2_20109,conserved membrane protein of unknown function,13,6
MBURv2_20110,protein of unknown function,5,22
MBURv2_20111,putative ribonuclease BN,11,10
MBURv2_20112,conserved membrane protein of unknown function,16,14
MBURv2_20113,conserved exported protein of unknown function,19,32
MBURv2_20114,conserved protein of unknown function,38,11
MBURv2_20115,conserved protein of unknown function,122,135
MBURv2_20116,conserved protein of unknown function,85,58
MBURv2_20117,Transport-associated protein,52,44
MBURv2_20118,conserved membrane protein of unknown function,1,4
MBURv2_20119,protein of unknown function,5,3
MBURv2_20120,protein of unknown function,64,17
MBURv2_20121,conserved protein of unknown function,17,10
MBURv2_20122,OmpA/MotB domain protein,21,21
MBURv2_20123,Transport-associated protein (Modular protein) (fragment),43,57
MBURv2_20124,conserved exported protein of unknown function,25,28
MBURv2_20125,protein of unknown function,10,3
MBURv2_20126,"MCP methyltransferase/methylesterase, CheR/CheB",26,25
MBURv2_20127,Diguanylate cyclase/phosphodiesterase with PAS/PAC sensor(S),20,27
MBURv2_20128,Phosphorylase,49,47
MBURv2_20129,protein of unknown function,94,62
MBURv2_20130,protein of unknown function,36,59
MBURv2_20131,Fatty acid hydroxylase,123,98
MBURv2_20132,transposase,45,54
MBURv2_20133,protein of unknown function,37,13
MBURv2_20134,conserved protein of unknown function,101,63
MBURv2_20135,conserved exported protein of unknown function,52,69
MBURv2_20136,putative OmpA/MotB domain protein,64,78
MBURv2_20137,conserved membrane protein of unknown function,13,23
MBURv2_20138,conserved protein of unknown function,25,7
MBURv2_20139,conserved exported protein of unknown function,8,23
MBURv2_20140,L-sorbosone dehydrogenase,2,9
MBURv2_20141,Non-heme chloroperoxidase,16,18
MBURv2_20142,Signal transduction histidine kinase,256,273
MBURv2_20143,Cyclic nucleotide-binding domain (CNMP-BD) protein,16,29
MBURv2_20144,"putative Bacterial regulatory protein, Crp",77,168
MBURv2_20145,putative squalene--hopene cyclase,10,6
MBURv2_20146,Glycosyl transferase family 2,31,30
MBURv2_20147,Lipid A biosynthesis acyltransferase,13,9
MBURv2_20148,protein of unknown function,32,9
MBURv2_20149,conserved protein of unknown function,37,18
MBURv2_20150,conserved protein of unknown function,11,32
MBURv2_20151,conserved protein of unknown function,29,56
MBURv2_20152,putative glycoside hydrolase/deacetylase,26,24
MBURv2_20153,conserved exported protein of unknown function,8,15
MBURv2_20154,conserved protein of unknown function,31,45
MBURv2_20155,"putative phosphorylase, carbohydrate binding",10,7
MBURv2_20156,conserved membrane protein of unknown function,47,38
MBURv2_20157,Cytochrome c biogenesis ATP-binding export protein CcmA,122,140
MBURv2_20158,heme exporter subunit ; membrane component of ABC superfamily,63,48
MBURv2_20159,heme exporter subunit ; membrane component of ABC superfamily,58,54
MBURv2_20160,Heme exporter protein CcmD,100,86
MBURv2_20161,periplasmic heme chaperone,165,134
MBURv2_20162,"heme lyase, CcmF subunit",88,89
MBURv2_20163,periplasmic thioredoxin of cytochrome c-type biogenesis,305,333
MBURv2_20164,conserved exported protein of unknown function,435,397
MBURv2_20165,Cytochrome C biogenesis protein,292,300
MBURv2_20166,Cytochrome c-type biogenesis protein CcmI,293,258
MBURv2_20167,"coproporphyrinogen III oxidase, SAM and NAD(P)H dependent, oxygen-independent",237,245
MBURv2_20168,conserved protein of unknown function,277,309
MBURv2_20169,protein of unknown function,61,68
MBURv2_20170,"DNA gyrase (type II topoisomerase), subunit A",197,191
MBURv2_20171,3-phosphoserine/phosphohydroxythreonine aminotransferase,204,235
MBURv2_20172,bifuctional protein [Includes: chorismate mutase P; prephenate dehydratase ],242,267
MBURv2_20173,Histidinol-phosphate aminotransferase 2,88,110
MBURv2_20174,fragment of bifunctional protein [Includes: putative prephenate or cyclohexadienyl dehydrogenase; 3-phosphoshikimate 1-carboxyvi,NULL,NULL
MBURv2_20175,fragment of bifunctional protein [Includes: putative prephenate or cyclohexadienyl dehydrogenase; 3-phosphoshikimate 1-carboxyvi,NULL,NULL
MBURv2_20176,cytidylate kinase,260,189
MBURv2_20177,30S ribosomal subunit protein S1,455,458
MBURv2_20178,"integration host factor (IHF), DNA-binding protein, beta subunit",265,288
MBURv2_20179,conserved protein of unknown function,78,48
MBURv2_20180,"ferrous iron transporter, protein A",101,56
MBURv2_20181,"fused ferrous iron transporter, protein B: GTP-binding protein ; membrane protein",41,37
MBURv2_20182,conserved protein of unknown function,56,26
MBURv2_20183,conserved protein of unknown function,76,105
MBURv2_20184,conserved protein of unknown function,96,95
MBURv2_20185,Formaldehyde-activating enzyme,690,702
MBURv2_20186,conserved protein of unknown function,98,69
MBURv2_20187,conserved protein of unknown function,58,80
MBURv2_20188,Ankyrin,105,102
MBURv2_20189,protein of unknown function,122,109
MBURv2_20190,conserved protein of unknown function,45,54
MBURv2_20191,MotA/TolQ/ExbB proton channel,52,85
MBURv2_20192,protein of unknown function,81,92
MBURv2_20193,conserved protein of unknown function,379,328
MBURv2_20194,Nodulation efficiency protein D,228,170
MBURv2_20195,protein of unknown function,7,47
MBURv2_20196,inositol monophosphatase,157,144
MBURv2_20197,putative methyltransferase,91,83
MBURv2_20198,serine acetyltransferase,88,61
MBURv2_20199,DNA-binding transcriptional repressor,103,112
MBURv2_20200,Cysteine desulfurase,98,90
MBURv2_20201,FeS cluster assembly protein,146,133
MBURv2_20202,putative flavoprotein oxidoreductase,41,34
MBURv2_20203,putative Mg transporter (MgtE),122,132
MBURv2_20204,conserved exported protein of unknown function,12,20
MBURv2_20205,conserved protein of unknown function,2594,2062
MBURv2_20206,putative Beta-lactamase,88,87
MBURv2_20207,Heat shock protein DnaJ domain protein,85,93
MBURv2_20208,Predicted ATPase (AAA+ superfamily),88,82
MBURv2_20209,protein of unknown function,58,119
MBURv2_20210,membrane protein of unknown function,74,52
MBURv2_20211,protein of unknown function,79,84
MBURv2_20212,conserved protein of unknown function,88,113
MBURv2_20213,Bacteriophage protein gp37,158,163
MBURv2_20214,protein of unknown function,21,6
MBURv2_20215,conserved protein of unknown function,153,126
MBURv2_20216,Growth inhibitor,179,156
MBURv2_20217,Phosphoribosyltransferase,59,35
MBURv2_20218,biotin synthase,29,25
MBURv2_20219,8-amino-7-oxononanoate synthase,30,20
MBURv2_20220,Pimelyl-[acyl-carrier protein] methyl ester esterase,15,8
MBURv2_20221,Malonyl-CoA O-methyltransferase BioC,22,34
MBURv2_20222,dethiobiotin synthetase,25,29
MBURv2_20223,Bacteriohemerythrin,7520,7384
MBURv2_20224,Cytochrome c oxidase subunit 2,799,886
MBURv2_20225,putative cytochrome c oxidase subunit 1,616,560
MBURv2_20226,conserved protein of unknown function,343,371
MBURv2_20227,Cytochrome c oxidase assembly protein CtaG,485,491
MBURv2_20228,Cytochrome c oxidase polypeptide III,858,907
MBURv2_20229,conserved exported protein of unknown function,109,51
MBURv2_20230,conserved protein of unknown function,35,47
MBURv2_20231,conserved exported protein of unknown function,36,33
MBURv2_20232,Signal recognition particle receptor FtsY,43,55
MBURv2_20233,transporter subunit: ATP-binding component of ABC superfamily,49,46
MBURv2_20234,conserved membrane protein of unknown function,50,76
MBURv2_20235,"RNA polymerase, sigma 32 (sigma H) factor",337,258
MBURv2_20236,protein of unknown function,65,113
MBURv2_20237,"3-methyl-adenine DNA glycosylase I, constitutive",43,22
MBURv2_20238,Transcriptional regulator,18,39
MBURv2_20239,conserved protein of unknown function,18,32
MBURv2_20240,CRISPR-associated endonuclease Cas1,76,63
MBURv2_20241,Ribonuclease VapC1,90,43
MBURv2_20242,Antitoxin VapB1,68,76
MBURv2_20243,conserved protein of unknown function,48,55
MBURv2_20244,conserved protein of unknown function,245,276
MBURv2_20245,conserved protein of unknown function,142,179
MBURv2_20246,"CRISPR-associated protein Cas6/Csy4, subtype I-F/YPEST",137,169
MBURv2_20247,protein of unknown function,75,71
MBURv2_20248,conserved protein of unknown function,132,166
MBURv2_20249,protein of unknown function,46,37
MBURv2_20250,protein of unknown function,36,54
MBURv2_20251,conserved protein of unknown function,9,22
MBURv2_20252,conserved protein of unknown function,20,15
MBURv2_20253,conserved protein of unknown function,0,0
MBURv2_20254,conserved protein of unknown function,0,12
MBURv2_20255,protein of unknown function,31,18
MBURv2_20256,ErfK/YbiS/YcfS/YnhG family protein,55,35
MBURv2_20257,transposase (fragment),33,34
MBURv2_20258,transposase (fragment),13,31
MBURv2_20259,conserved protein of unknown function,226,176
MBURv2_20260,protein of unknown function,230,98
MBURv2_20261,"Transcriptional regulator, MarR family",88,83
MBURv2_20262,conserved protein of unknown function,265,270
MBURv2_20263,conserved exported protein of unknown function,263,202
MBURv2_20264,"TrkA-C, di-and tricarboxylate transporters",76,62
MBURv2_20265,2 polyprenyl 3 methyl 5 hydroxy 6 metoxy 1 4 benzoquinol methylase,69,60
MBURv2_20266,conserved protein of unknown function,40,50
MBURv2_20267,NUDIX hydrolase,40,28
MBURv2_20268,protein of unknown function,55,13
MBURv2_20269,protein of unknown function,47,74
MBURv2_20270,"Transcriptional regulator, LysR family",76,86
MBURv2_20271,"Transcriptional regulator, TetR family",150,132
MBURv2_20272,Bifunctional protein aas [Includes: 2-acylglycerophosphoethanolamine acyltransferase ; Acyl-[acyl-carrier-protein] synthetase],100,87
MBURv2_20273,protein of unknown function,13,19
MBURv2_20274,SMC domain protein,89,71
MBURv2_20275,UDP-N-acetyl glucosamine-2-epimerase,81,108
MBURv2_20276,conserved protein of unknown function,15,26
MBURv2_20277,putative Flagellar hook-length control protein,45,40
MBURv2_20278,Lysophospholipase-like protein,60,51
MBURv2_20279,Protein-L-isoaspartate O-methyltransferase 2,180,150
MBURv2_20280,conserved membrane protein of unknown function,40,54
MBURv2_20281,conserved protein of unknown function,58,56
MBURv2_20282,conserved exported protein of unknown function,1722,1447
MBURv2_20283,conserved membrane protein of unknown function,50,45
MBURv2_20284,glutaredoxin,201,134
MBURv2_20285,Ribulose-5-phosphate 4-epimerase,38,50
MBURv2_20286,"bacterioferritin, iron storage and detoxification protein",332,228
MBURv2_20287,Bacterioferritin-associated ferredoxin,358,277
MBURv2_20288,Delta-1-pyrroline-5-carboxylate dehydrogenase,87,94
MBURv2_20289,Alpha/beta hydrolase fold protein,137,97
MBURv2_20290,protein of unknown function,76,42
MBURv2_20291,conserved exported protein of unknown function,174,207
MBURv2_20292,conserved membrane protein of unknown function,74,87
MBURv2_20293,conserved protein of unknown function,58,75
MBURv2_20294,MiaB-like tRNA modifying enzyme,35,37
MBURv2_20295,Nucleoside recognition domain protein,11,14
MBURv2_20296,Acid tolerance regulatory protein ActR,111,98
MBURv2_20297,Integral membrane sensor signal transduction histidine kinase,48,52
MBURv2_20298,conserved protein of unknown function,46,38
MBURv2_20299,Transcriptional regulatory protein PmrA,82,67
MBURv2_20300,putative transcriptional coactivator/pterin dehydratase,1064,871
MBURv2_20301,conserved membrane protein of unknown function,111,98
MBURv2_20302,phosphoenolpyruvate synthase,165,187
MBURv2_20303,conserved hypothetical protein,73,83
MBURv2_20304,PpiC-type peptidyl-prolyl cis-trans isomerase,211,316
MBURv2_20305,putative stress-induced morphogen BolA protein,82,165
MBURv2_20306,putative enzyme,156,179
MBURv2_20307,putative intracellular septation protein involved in cell division,92,150
MBURv2_20308,conserved protein of unknown function,66,98
MBURv2_20309,conserved protein of unknown function,173,228
MBURv2_20310,Methyltransferase type 11,250,213
MBURv2_20311,gamma-glutamyl phosphate reductase (GPR) (Glutamate-5- semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) (,143,126
MBURv2_20312,putative nicotinate-nucleotide adenylyltransferase,70,67
MBURv2_20313,hypothetical protein,164,185
MBURv2_20314,conserved protein of unknown function,154,167
MBURv2_20315,conserved protein of unknown function,115,133
MBURv2_20316,conserved protein of unknown function,77,95
MBURv2_20317,conserved protein of unknown function,58,50
MBURv2_20318,"HTH transcriptional regulator, ArsR",48,37
MBURv2_20319,Arsenate reductase / phosphotyrosine protein phosphatase,9,16
MBURv2_20320,conserved membrane protein of unknown function,12,12
MBURv2_20321,conserved protein of unknown function,17,19
MBURv2_20322,Arsenical resistance operon trans-acting repressor ArsD,22,25
MBURv2_20323,Arsenical pump-driving ATPase,29,26
MBURv2_20324,"Calcium-translocating P-type ATPase, PMCA-type",30,38
MBURv2_20325,2-alkenal reductase,26,22
MBURv2_20326,conserved exported protein of unknown function,28,35
MBURv2_20327,Pyruvate kinase,6,11
MBURv2_20328,putative ABC transporter component; periplasmic phosphate-binding protein,9,12
MBURv2_20329,membrane protein of unknown function,32,37
MBURv2_20330,"high-affinity phosphate transport protein (ABC superfamily, membrane)",8,9
MBURv2_20331,"high-affinity phosphate transport protein (ABC superfamily, membrane)",14,16
MBURv2_20332,phosphate transporter subunit ; ATP-binding component of ABC superfamily,14,12
MBURv2_20333,Phosphate uptake regulator,18,18
MBURv2_20334,conserved protein of unknown function,14,24
MBURv2_20335,conserved protein of unknown function,161,111
MBURv2_20336,Putative cytoplasmic protein (fragment),69,83
MBURv2_20337,conserved membrane protein of unknown function,61,42
MBURv2_20338,conserved membrane protein of unknown function,57,62
MBURv2_20339,protein of unknown function,42,55
MBURv2_20340,conserved protein of unknown function,189,186
MBURv2_20341,conserved protein of unknown function,176,179
MBURv2_20342,glycolate oxidase iron-sulfur subunit,45,48
MBURv2_20343,glycolate oxidase FAD binding subunit,45,22
MBURv2_20344,"glycolate oxidase subunit, FAD-linked",26,34
MBURv2_20345,conserved protein of unknown function,67,59
MBURv2_20346,protein of unknown function,122,49
MBURv2_20347,BLUF domain protein,210,218
MBURv2_20348,Inner membrane lipoprotein YiaD,165,137
MBURv2_20349,putative RND transporter translocase subunit,77,59
MBURv2_20350,conserved membrane protein of unknown function,223,217
MBURv2_20351,conserved membrane protein of unknown function,44,43
MBURv2_20352,conserved protein of unknown function,74,85
MBURv2_20353,protein of unknown function,513,394
MBURv2_20354,conserved protein of unknown function,1609,1468
MBURv2_20355,conserved membrane protein of unknown function,50,55
MBURv2_20356,conserved protein of unknown function,34,49
MBURv2_20357,MscS Mechanosensitive ion channel,97,68
MBURv2_20358,conserved protein of unknown function,88,81
MBURv2_20359,D-Glucan glucanohydrolase (Alpha amylase),110,109
MBURv2_20360,putative gluconokinase,76,72
MBURv2_20361,Gluconolactonase,55,53
MBURv2_20362,conserved protein of unknown function,152,148
MBURv2_20363,conserved protein of unknown function,163,110
MBURv2_20364,conserved protein of unknown function,44,49
MBURv2_20365,protein of unknown function,6,13
MBURv2_20366,putative thiol disulfide isomerase,13,9
MBURv2_20367,conserved protein of unknown function,8,5
MBURv2_20368,Glucose 1-dehydrogenase 1,19,10
MBURv2_20369,conserved protein of unknown function,14,16
MBURv2_20370,Transcriptional regulatory protein TcrA,18,17
MBURv2_20371,"Two-component signal transduction system response, histidine kinase sensor",25,17
MBURv2_20372,CBS domain protein (Hemolysins and related protein family),59,54
MBURv2_20373,conserved membrane protein of unknown function,59,51
MBURv2_20374,putative xanthine dehydrogenase accessory factor,46,46
MBURv2_20375,conserved membrane protein of unknown function,77,73
MBURv2_20376,conserved protein of unknown function,37,40
MBURv2_20377,"Xanthine dehydrogenase, large subunit",50,40
MBURv2_20378,"Xanthine dehydrogenase, iron-sulfur cluster and FAD-binding subunit",30,34
MBURv2_20379,Adenine deaminase,66,69
MBURv2_20380,conserved membrane protein of unknown function,44,41
MBURv2_20381,protein of unknown function,15,9
MBURv2_20382,Rare lipoprotein A,264,248
MBURv2_20383,Response regulator receiver sensor signal transduction histidine kinase,49,61
MBURv2_20384,protein of unknown function,62,109
MBURv2_20385,putative 2Fe-2S ferredoxin-like,55,49
MBURv2_20386,conserved protein of unknown function,62,73
MBURv2_20387,putative methyltransferase with corrinoid-binding domain,79,101
MBURv2_20388,conserved protein of unknown function,90,74
MBURv2_20389,putative two-component sensor protein histidine kinase,93,90
MBURv2_20390,putative Diguanylate cyclase,124,95
MBURv2_20391,"7,8-diaminopelargonic acid synthase, PLP-dependent",78,58
MBURv2_20392,putative periplasmic serine endoprotease DegP-like,108,94
MBURv2_20393,conserved protein of unknown function,79,75
MBURv2_20394,conserved hypothetical protein; putative membrane protein,174,151
MBURv2_20395,conserved hypothetical protein; putative membrane protein,111,103
MBURv2_20396,conserved protein of unknown function,119,107
MBURv2_20397,conserved exported protein of unknown function,184,194
MBURv2_20398,Chemotaxis protein CheY (2 CheY domains),233,174
MBURv2_20399,Formaldehyde activating enzyme homolog,1238,1303
MBURv2_20400,Radical SAM domain protein,74,76
MBURv2_20401,conserved protein of unknown function,2781,2279
MBURv2_20402,tRNA(Ile)-lysidine synthase,57,55
MBURv2_20403,CTP synthetase,56,60
MBURv2_20404,2-dehydro-3-deoxyphosphooctonate aldolase,96,71
MBURv2_20405,enolase,263,241
MBURv2_20406,cell division protein,165,164
MBURv2_20407,4-diphosphocytidyl-2C-methyl-D-erythritol synthase,31,37
MBURv2_20408,"2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",40,30
MBURv2_20409,tRNA pseudouridine synthase D,13,15
MBURv2_20410,Undecaprenyl-diphosphatase 2,44,35
MBURv2_20411,Smr protein/MutS2,79,60
